text,prob,verdict
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Lunch plan Meeting notes attached. See you in the seminar.,0.014476694113625049,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
"Meeting notes Hey Mary, are we still on for tomorrow at 6pm?",0.026434888622475807,OK
Payment issue on PayFastNG Congratulations John! You won a prize. Claim now: https://azumi.io/secure/login?id=1330,0.9434402590521357,PHISH
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Reminder Hey Aisha, are we still on for tomorrow at 6pm?",0.03778880245333127,OK
"UniPortal security alert Dear John, we detected unusual activity on your UniPortal account. Verify: https://naira-bank.ng/secure/login?id=1969",0.941169326039995,PHISH
"Reminder Hey Fatima, are we still on for tomorrow at 6pm?",0.03772842604945261,OK
Reminder Meeting notes attached. See you in the seminar.,0.020390907454596898,OK
Payment issue on GigaMail Your GigaMail payment failed. Update billing: https://giga-mail.com/secure/login?id=8445,0.9422240158217484,PHISH
Project update Meeting notes attached. See you in the seminar.,0.02126508024930377,OK
"Meeting notes Hey Aisha, are we still on for tomorrow at 6pm?",0.02658582841352085,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
"Meeting notes Hey Ngozi, are we still on for tomorrow at 6pm?",0.02601539131959456,OK
"Meeting notes Hey Chinedu, are we still on for tomorrow at 6pm?",0.027355483529709155,OK
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
"Action Required: PayFastNG Fatima, important security notice for your PayFastNG — click http://payfast-ng.verify-account.ng/522 to resolve.",0.9432569887881583,PHISH
"Meeting notes Hey John, are we still on for tomorrow at 6pm?",0.02741676599779061,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
"Meeting notes Hey Aisha, are we still on for tomorrow at 6pm?",0.02658582841352085,OK
"Payment issue on GigaMail Dear Olu, we detected unusual activity on your GigaMail account. Verify: http://naira-bank-ng.verify-account.ng/240",0.9378649717791088,PHISH
"Action Required: Bank of Naira Chinedu, important security notice for your Bank of Naira — click https://payfast.ng/secure/login?id=4557 to resolve.",0.948036154589274,PHISH
"Meeting notes Hey Fatima, are we still on for tomorrow at 6pm?",0.026603085352872258,OK
Project update Can you review the attached doc and approve?,0.02649040188816317,OK
Reminder Can you review the attached doc and approve?,0.0259775791496697,OK
Meeting notes Can you review the attached doc and approve?,0.01708811165668259,OK
Meeting notes Lunch on campus? I'm free after 2pm.,0.016624748564437172,OK
Lunch plan Can you review the attached doc and approve?,0.01847716579197332,OK
PayFastNG security alert Congratulations Emeka! You won a prize. Claim now: https://payfast.ng/secure/login?id=4005,0.9475917618193331,PHISH
Reminder Lunch on campus? I'm free after 2pm.,0.026518899006132256,OK
